customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,totalcharges_tenure_ratio,charges_ratio
1,1,0,0,0,29.85,29.85,0,29.85,1
2,34,1,1,1,56.95,1889.5,0,55.57,33.18
3,2,1,0,1,53.85,108.15,1,54.08,2.01
4,45,0,1,2,42.3,1840.75,0,40.91,43.52
5,2,1,0,0,70.7,151.65,1,75.83,2.14
6,8,1,0,0,99.65,820.5,1,102.56,8.23
7,22,1,0,3,89.1,1949.4,0,88.61,21.88
8,10,0,0,1,29.75,301.9,0,30.19,10.15
9,28,1,0,0,104.8,3046.05,1,108.79,29.07
10,62,1,1,2,56.15,3487.95,0,56.26,62.12
11,13,1,0,1,49.95,587.45,0,45.19,11.76
12,16,1,2,3,18.95,326.8,0,20.43,17.25
13,58,1,1,3,100.35,5681.1,0,97.95,56.61
14,49,1,0,2,103.7,5036.3,1,102.78,48.57
15,25,1,0,0,105.5,2686.05,0,107.44,25.46
16,69,1,2,3,113.25,7895.15,0,114.42,69.71
17,52,1,1,1,20.65,1022.95,0,19.67,49.54
18,71,1,2,2,106.7,7382.25,0,103.98,69.19
19,10,1,0,3,55.2,528.35,1,52.84,9.57
20,21,1,0,0,90.05,1862.9,0,88.71,20.69
21,1,0,0,0,39.65,39.65,1,39.65,1
22,12,1,1,2,19.8,202.25,0,16.85,10.21
23,1,1,0,1,20.15,20.15,1,20.15,1
24,58,1,2,3,59.9,3505.1,0,60.43,58.52
25,49,1,0,3,59.6,2970.3,0,60.62,49.84
26,30,1,0,2,55.3,1530.6,0,51.02,27.68
27,47,1,0,0,99.35,4749.15,1,101.05,47.8
28,1,0,0,0,30.2,30.2,1,30.2,1
29,72,1,2,3,90.25,6369.45,0,88.46,70.58
30,17,1,0,1,64.7,1093.1,1,64.3,16.89
31,71,1,2,3,96.35,6766.95,0,95.31,70.23
32,2,1,0,3,95.5,181.65,0,90.83,1.9
33,27,1,1,1,66.15,1874.45,0,69.42,28.34
34,1,1,0,2,20.2,20.2,0,20.2,1
35,1,1,0,2,45.25,45.25,0,45.25,1
36,72,1,2,2,99.9,7251.7,0,100.72,72.59
37,5,1,0,0,69.7,316.9,1,63.38,4.55
38,46,1,0,3,74.8,3548.3,0,77.14,47.44
39,34,1,0,0,106.35,3549.25,1,104.39,33.37
40,11,1,0,2,97.85,1105.4,1,100.49,11.3
41,10,1,1,1,49.55,475.7,0,47.57,9.6
42,70,1,2,3,69.2,4872.35,0,69.61,70.41
43,17,1,1,1,20.75,418.25,0,24.6,20.16
44,63,1,2,3,79.85,4861.45,0,77.17,60.88
45,13,1,0,0,76.2,981.45,0,75.5,12.88
46,49,1,0,0,84.5,3906.7,0,79.73,46.23
47,2,1,0,1,49.25,97,0,48.5,1.97
48,2,1,0,0,80.65,144.15,1,72.08,1.79
49,52,1,2,3,79.75,4217.8,0,81.11,52.89
50,69,1,2,3,64.15,4254.1,0,61.65,66.31
51,43,1,0,0,90.25,3838.75,0,89.27,42.53
52,15,1,0,3,99.1,1426.4,1,95.09,14.39
53,25,1,0,3,69.5,1752.65,0,70.11,25.22
54,8,1,0,3,80.65,633.3,1,79.16,7.85
55,60,1,1,3,74.85,4456.35,0,74.27,59.54
56,18,1,0,0,95.45,1752.55,1,97.36,18.36
57,63,1,1,3,99.65,6311.2,0,100.18,63.33
58,66,1,1,0,108.45,7076.35,0,107.22,65.25
59,34,1,2,3,24.95,894.3,0,26.3,35.84
60,72,1,2,3,107.5,7853.7,0,109.08,73.06
61,47,1,0,0,100.5,4707.1,0,100.15,46.84
62,60,1,0,2,89.9,5450.7,0,90.85,60.63
63,72,0,2,2,42.1,2962,0,41.14,70.36
64,18,1,1,3,54.4,957.1,0,53.17,17.59
65,9,1,0,0,94.4,857.25,1,95.25,9.08
66,3,1,0,0,75.3,244.1,0,81.37,3.24
67,47,1,1,0,78.9,3650.35,0,77.67,46.27
68,31,1,2,1,79.2,2497.2,0,80.55,31.53
69,50,1,2,2,20.15,930.9,0,18.62,46.2
70,10,1,0,1,79.85,887.35,0,88.74,11.11
71,1,1,0,1,49.05,49.05,0,49.05,1
72,52,1,1,0,20.4,1090.65,0,20.97,53.46
73,64,1,2,2,111.6,7099,0,110.92,63.61
74,62,1,2,2,24.25,1424.6,0,22.98,58.75
75,3,1,0,2,64.5,177.4,0,59.13,2.75
76,56,1,1,0,110.5,6139.5,0,109.63,55.56
77,46,1,1,3,55.65,2688.85,0,58.45,48.32
78,8,1,0,1,54.65,482.25,0,60.28,8.82
79,30,1,0,0,74.75,2111.3,0,70.38,28.24
80,45,1,1,3,25.9,1216.6,0,27.04,46.97
81,1,1,0,0,79.35,79.35,1,79.35,1
82,11,0,0,0,50.55,565.35,0,51.4,11.18
83,7,1,0,2,75.15,496.9,1,70.99,6.61
84,42,1,0,2,103.8,4327.5,0,103.04,41.69
85,49,1,2,2,20.15,973.35,0,19.86,48.31
86,9,1,0,3,99.3,918.75,0,102.08,9.25
87,35,1,1,2,62.15,2215.45,0,63.3,35.65
88,48,1,2,2,20.65,1057,0,22.02,51.19
89,46,1,2,1,19.95,927.1,0,20.15,46.47
90,29,0,0,1,33.75,1009.25,0,34.8,29.9
91,30,1,0,2,82.05,2570.2,0,85.67,31.32
92,1,1,0,0,74.7,74.7,0,74.7,1
93,66,1,2,1,84,5714.25,0,86.58,68.03
94,65,1,0,3,111.05,7107,0,109.34,64
95,72,1,2,2,100.9,7459.05,0,103.6,73.93
96,12,1,0,0,78.95,927.35,1,77.28,11.75
97,71,1,1,3,66.85,4748.7,0,66.88,71.04
98,5,1,0,1,21.05,113.85,1,22.77,5.41
99,52,1,2,2,21,1107.2,0,21.29,52.72
100,25,1,0,0,98.5,2514.5,1,100.58,25.53
101,1,1,0,1,20.2,20.2,0,20.2,1
102,1,1,0,0,19.45,19.45,0,19.45,1
103,38,1,1,2,95,3605.6,0,94.88,37.95
104,66,0,1,2,45.55,3027.25,0,45.87,66.46
105,68,1,2,2,110,7611.85,1,111.94,69.2
106,5,0,0,1,24.3,100.2,0,20.04,4.12
107,72,1,1,0,104.15,7303.05,0,101.43,70.12
108,32,0,1,1,30.15,927.65,0,28.99,30.77
109,43,1,1,1,94.35,3921.3,0,91.19,41.56
110,72,1,2,3,19.4,1363.25,0,18.93,70.27
111,55,1,0,0,96.75,5238.9,1,95.25,54.15
112,52,1,1,3,57.95,3042.25,0,58.5,52.5
